"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"211",1.947758e-07,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"212",0.166666666666667,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"213",0.75,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"214",1,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"215",1,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"216",192529,6.89655172413793e-08,0.0103448275862069,0.75,1,1,192529,NA
"217",1.947758e-07,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"218",0.166666666666667,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"219",0.75,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"220",1,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"221",1,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"222",192529,8.27586206896552e-08,0.0103448275862069,0.75,1,1,192529,NA
"223",1.947758e-07,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"224",0.166666666666667,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"225",0.75,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"226",1,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"227",1,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"228",192529,9.6551724137931e-08,0.0103448275862069,0.75,1,1,192529,NA
"229",1.947758e-07,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"230",0.166666666666667,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"231",0.75,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"232",1,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"233",1,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"234",192529,1.10344827586207e-07,0.0103448275862069,0.75,1,1,192529,NA
"235",1.947758e-07,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"236",0.166666666666667,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"237",0.75,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"238",1,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"239",1,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"240",192529,1.24137931034483e-07,0.0103448275862069,0.75,1,1,192529,NA
"241",1.947758e-07,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"242",0.166666666666667,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"243",0.75,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"244",1,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"245",1,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"246",192529,1.37931034482759e-07,0.0103448275862069,0.75,1,1,192529,NA
"247",1.947758e-07,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"248",0.166666666666667,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"249",0.75,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"250",1,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"251",1,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"252",192529,1.51724137931034e-07,0.0103448275862069,0.75,1,1,192529,NA
"253",1.947758e-07,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"254",0.166666666666667,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"255",0.75,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"256",1,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"257",1,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"258",192529,1.6551724137931e-07,0.0103448275862069,0.75,1,1,192529,NA
"259",1.947758e-07,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"260",0.166666666666667,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"261",0.75,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"262",1,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"263",1,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"264",192529,1.79310344827586e-07,0.0103448275862069,0.75,1,1,192529,NA
"265",1.947758e-07,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"266",0.166666666666667,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"267",0.75,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"268",1,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"269",1,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"270",192529,1.93103448275862e-07,0.0103448275862069,0.75,1,1,192529,NA
"271",1.947758e-07,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"272",0.166666666666667,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"273",0.75,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"274",1,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"275",1,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"276",192529,2.06896551724138e-07,0.0103448275862069,0.75,1,1,192529,NA
"277",1.947758e-07,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"278",0.166666666666667,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"279",0.75,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"280",1,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"281",1,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"282",192529,2.20689655172414e-07,0.0103448275862069,0.75,1,1,192529,NA
"283",1.947758e-07,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"284",0.166666666666667,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"285",0.75,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"286",1,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"287",1,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"288",192529,2.3448275862069e-07,0.0103448275862069,0.75,1,1,192529,NA
"289",1.947758e-07,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
"290",0.166666666666667,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
"291",0.75,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
"292",1,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
"293",1,2.48275862068965e-07,0.0103448275862069,0.75,1,1,192529,NA
