"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"260",192529,5.78947368421053e-07,0.0842105263157895,0.25,1,192529,NA
"261",5e-08,6.31578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"262",0.166666666666667,6.31578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"263",0.25,6.31578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"264",1,6.31578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"265",192529,6.31578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"266",5e-08,6.84210526315789e-07,0.0842105263157895,0.25,1,192529,NA
"267",0.166666666666667,6.84210526315789e-07,0.0842105263157895,0.25,1,192529,NA
"268",0.25,6.84210526315789e-07,0.0842105263157895,0.25,1,192529,NA
"269",1,6.84210526315789e-07,0.0842105263157895,0.25,1,192529,NA
"270",192529,6.84210526315789e-07,0.0842105263157895,0.25,1,192529,NA
"271",5e-08,7.36842105263158e-07,0.0842105263157895,0.25,1,192529,NA
"272",0.166666666666667,7.36842105263158e-07,0.0842105263157895,0.25,1,192529,NA
"273",0.25,7.36842105263158e-07,0.0842105263157895,0.25,1,192529,NA
"274",1,7.36842105263158e-07,0.0842105263157895,0.25,1,192529,NA
"275",192529,7.36842105263158e-07,0.0842105263157895,0.25,1,192529,NA
"276",5e-08,7.89473684210526e-07,0.0842105263157895,0.25,1,192529,NA
"277",0.166666666666667,7.89473684210526e-07,0.0842105263157895,0.25,1,192529,NA
"278",0.25,7.89473684210526e-07,0.0842105263157895,0.25,1,192529,NA
"279",1,7.89473684210526e-07,0.0842105263157895,0.25,1,192529,NA
"280",192529,7.89473684210526e-07,0.0842105263157895,0.25,1,192529,NA
"281",5e-08,8.42105263157895e-07,0.0842105263157895,0.25,1,192529,NA
"282",0.166666666666667,8.42105263157895e-07,0.0842105263157895,0.25,1,192529,NA
"283",0.25,8.42105263157895e-07,0.0842105263157895,0.25,1,192529,NA
"284",1,8.42105263157895e-07,0.0842105263157895,0.25,1,192529,NA
"285",192529,8.42105263157895e-07,0.0842105263157895,0.25,1,192529,NA
"286",5e-08,8.94736842105263e-07,0.0842105263157895,0.25,1,192529,NA
"287",0.166666666666667,8.94736842105263e-07,0.0842105263157895,0.25,1,192529,NA
"288",0.25,8.94736842105263e-07,0.0842105263157895,0.25,1,192529,NA
"289",1,8.94736842105263e-07,0.0842105263157895,0.25,1,192529,NA
"290",192529,8.94736842105263e-07,0.0842105263157895,0.25,1,192529,NA
"291",5e-08,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"292",0.166666666666667,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"293",0.25,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"294",1,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"295",192529,9.47368421052631e-07,0.0842105263157895,0.25,1,192529,NA
"296",5e-08,1e-06,0.0842105263157895,0.25,1,192529,NA
"297",0.166666666666667,1e-06,0.0842105263157895,0.25,1,192529,NA
"298",0.25,1e-06,0.0842105263157895,0.25,1,192529,NA
"299",1,1e-06,0.0842105263157895,0.25,1,192529,NA
"300",192529,1e-06,0.0842105263157895,0.25,1,192529,NA
"301",5e-08,0,0.126315789473684,0.25,1,192529,-77.4067156315751
"302",0.166666666666667,0,0.126315789473684,0.25,1,192529,-77.4678675208631
"303",0.25,0,0.126315789473684,0.25,1,192529,-77.3468377085627
"304",1,0,0.126315789473684,0.25,1,192529,-77.2197580866008
"305",192529,0,0.126315789473684,0.25,1,192529,-77.2671698511402
"306",5e-08,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-77.9851931921083
"307",0.166666666666667,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-78.1241898667309
"308",0.25,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-77.6807093332005
"309",1,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-77.7010111240551
"310",192529,5.26315789473684e-08,0.126315789473684,0.25,1,192529,-77.9971225281133
"311",5e-08,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-81.0999587130375
"312",0.166666666666667,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-80.5790769189302
"313",0.25,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-80.8006908468884
"314",1,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-80.9463608063357
"315",192529,1.05263157894737e-07,0.126315789473684,0.25,1,192529,-80.8359594352792
"316",5e-08,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-85.3926861004418
"317",0.166666666666667,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-87.0263239868585
"318",0.25,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-86.137447710624
"319",1,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-85.6222246675536
"320",192529,1.57894736842105e-07,0.126315789473684,0.25,1,192529,-85.0306915835985
"321",5e-08,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-95.7340110134299
"322",0.166666666666667,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-94.4806444848277
"323",0.25,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-93.7681503706932
"324",1,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-95.1945377973391
"325",192529,2.10526315789474e-07,0.126315789473684,0.25,1,192529,-94.7449026213595
"326",5e-08,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-107.005915776109
"327",0.166666666666667,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-103.491793425602
"328",0.25,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-106.590946598975
"329",1,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-107.728130796678
"330",192529,2.63157894736842e-07,0.126315789473684,0.25,1,192529,-104.817342865867
"331",5e-08,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"332",0.166666666666667,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"333",0.25,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"334",1,3.1578947368421e-07,0.126315789473684,0.25,1,192529,-115.707572873637
"335",192529,3.1578947368421e-07,0.126315789473684,0.25,1,192529,NA
"336",5e-08,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"337",0.166666666666667,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"338",0.25,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"339",1,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"340",192529,3.68421052631579e-07,0.126315789473684,0.25,1,192529,NA
"341",5e-08,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
"342",0.166666666666667,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
"343",0.25,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
"344",1,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
"345",192529,4.21052631578947e-07,0.126315789473684,0.25,1,192529,NA
"346",5e-08,4.73684210526316e-07,0.126315789473684,0.25,1,192529,NA
"347",0.166666666666667,4.73684210526316e-07,0.126315789473684,0.25,1,192529,NA
"348",0.25,4.73684210526316e-07,0.126315789473684,0.25,1,192529,NA
"349",1,4.73684210526316e-07,0.126315789473684,0.25,1,192529,NA
"350",192529,4.73684210526316e-07,0.126315789473684,0.25,1,192529,NA
"351",5e-08,5.26315789473684e-07,0.126315789473684,0.25,1,192529,NA
"352",0.166666666666667,5.26315789473684e-07,0.126315789473684,0.25,1,192529,NA
"353",0.25,5.26315789473684e-07,0.126315789473684,0.25,1,192529,NA
"354",1,5.26315789473684e-07,0.126315789473684,0.25,1,192529,NA
"355",192529,5.26315789473684e-07,0.126315789473684,0.25,1,192529,NA
"356",5e-08,5.78947368421053e-07,0.126315789473684,0.25,1,192529,NA
"357",0.166666666666667,5.78947368421053e-07,0.126315789473684,0.25,1,192529,NA
"358",0.25,5.78947368421053e-07,0.126315789473684,0.25,1,192529,NA
"359",1,5.78947368421053e-07,0.126315789473684,0.25,1,192529,NA
"360",192529,5.78947368421053e-07,0.126315789473684,0.25,1,192529,NA
"361",5e-08,6.31578947368421e-07,0.126315789473684,0.25,1,192529,NA
"362",0.166666666666667,6.31578947368421e-07,0.126315789473684,0.25,1,192529,NA
"363",0.25,6.31578947368421e-07,0.126315789473684,0.25,1,192529,NA
"364",1,6.31578947368421e-07,0.126315789473684,0.25,1,192529,NA
"365",192529,6.31578947368421e-07,0.126315789473684,0.25,1,192529,NA
"366",5e-08,6.84210526315789e-07,0.126315789473684,0.25,1,192529,NA
"367",0.166666666666667,6.84210526315789e-07,0.126315789473684,0.25,1,192529,NA
"368",0.25,6.84210526315789e-07,0.126315789473684,0.25,1,192529,NA
"369",1,6.84210526315789e-07,0.126315789473684,0.25,1,192529,NA
"370",192529,6.84210526315789e-07,0.126315789473684,0.25,1,192529,NA
"371",5e-08,7.36842105263158e-07,0.126315789473684,0.25,1,192529,NA
